"monetary","total","persentase"
"989.26","1","0.04"
"993.76","1","0.04"
"995.08","1","0.04"
"995.72","1","0.04"
"996.60","1","0.04"
"998.12","1","0.04"
"999.33","1","0.04"
"1000.84","1","0.04"
"1001.30","1","0.04"
"1003.87","1","0.04"
"1004.60","1","0.04"
"1004.89","1","0.04"
"1007.97","1","0.04"
"1017.86","1","0.04"
"1020.57","1","0.04"
"1020.70","1","0.04"
"1024.72","1","0.04"
"1029.47","1","0.04"
"1030.97","1","0.04"
"1032.63","1","0.04"
"1032.95","1","0.04"
"1034.95","1","0.04"
"1035.19","1","0.04"
"1036.52","1","0.04"
"1037.78","1","0.04"
"1038.52","1","0.04"
"1042.06","1","0.04"
"1042.35","1","0.04"
"1046.59","1","0.04"
"1050.39","1","0.04"
"1051.10","1","0.04"
"1051.12","1","0.04"
"1051.16","1","0.04"
"1052.48","1","0.04"
"1052.94","1","0.04"
"1055.29","1","0.04"
"1056.96","1","0.04"
"1057.56","1","0.04"
"1059.79","1","0.04"
"1060.24","1","0.04"
"1060.64","1","0.04"
"1062.17","1","0.04"
"1062.25","1","0.04"
"1064.84","1","0.04"
"1064.99","1","0.04"
"1066.62","1","0.04"
"1068.91","1","0.04"
"1069.00","1","0.04"
"1072.79","1","0.04"
"1073.01","1","0.04"
"1074.69","1","0.04"
"1076.69","1","0.04"
"1077.42","1","0.04"
"1078.06","1","0.04"
"1078.47","1","0.04"
"1083.62","1","0.04"
"1084.76","1","0.04"
"1086.56","1","0.04"
"1088.62","1","0.04"
"1088.90","1","0.04"
"1090.62","1","0.04"
"1091.08","1","0.04"
"1093.51","1","0.04"
"1095.10","1","0.04"
"1095.29","1","0.04"
"1097.50","1","0.04"
"1098.30","1","0.04"
"1098.51","1","0.04"
"1103.88","1","0.04"
"1107.54","1","0.04"
"1107.79","1","0.04"
"1111.69","1","0.04"
"1114.16","1","0.04"
"1114.44","1","0.04"
"1118.33","1","0.04"
"1119.51","1","0.04"
"1119.54","1","0.04"
"1120.90","1","0.04"
"1121.00","1","0.04"
"1121.20","1","0.04"
"1121.48","1","0.04"
"1123.16","1","0.04"
"1130.58","1","0.04"
"1131.65","1","0.04"
"1131.91","1","0.04"
"1132.40","1","0.04"
"1133.71","1","0.04"
"1137.28","1","0.04"
"1142.42","1","0.04"
"1142.86","1","0.04"
"1146.67","1","0.04"
"1147.99","1","0.04"
"1148.42","1","0.04"
"1148.68","1","0.04"
"1151.04","1","0.04"
"1152.32","1","0.04"
"1152.78","1","0.04"
"1153.05","1","0.04"
"1154.02","1","0.04"
"1158.11","1","0.04"
"1158.33","1","0.04"
"1159.32","1","0.04"
"1160.00","1","0.04"
"1160.57","1","0.04"
"1162.34","1","0.04"
"1163.62","1","0.04"
"1164.11","1","0.04"
"1164.18","1","0.04"
"1165.27","1","0.04"
"1166.63","1","0.04"
"1166.73","1","0.04"
"1167.03","1","0.04"
"1167.09","1","0.04"
"1168.94","1","0.04"
"1169.97","1","0.04"
"1170.13","1","0.04"
"1172.83","1","0.04"
"1174.31","1","0.04"
"1174.56","1","0.04"
"1179.61","1","0.04"
"1180.72","1","0.04"
"1181.63","1","0.04"
"1182.43","1","0.04"
"1182.47","1","0.04"
"1183.74","1","0.04"
"1188.61","1","0.04"
"1190.51","1","0.04"
"1192.68","1","0.04"
"1194.94","1","0.04"
"1195.65","1","0.04"
"1197.77","1","0.04"
"1198.02","1","0.04"
"1199.37","1","0.04"
"1200.11","1","0.04"
"1200.74","1","0.04"
"1201.03","1","0.04"
"1202.30","1","0.04"
"1202.51","1","0.04"
"1204.41","1","0.04"
"1204.49","1","0.04"
"1205.06","1","0.04"
"1208.09","1","0.04"
"1208.39","1","0.04"
"1209.04","1","0.04"
"1214.28","1","0.04"
"1217.16","1","0.04"
"1218.08","1","0.04"
"1219.71","1","0.04"
"1220.38","1","0.04"
"1220.81","1","0.04"
"1222.83","1","0.04"
"1223.56","1","0.04"
"1226.14","1","0.04"
"1226.29","1","0.04"
"1230.83","1","0.04"
"1231.17","1","0.04"
"1231.76","1","0.04"
"1233.92","1","0.04"
"1235.72","1","0.04"
"1236.98","1","0.04"
"1239.07","1","0.04"
"1241.87","1","0.04"
"1242.25","1","0.04"
"1243.06","1","0.04"
"1245.24","1","0.04"
"1248.19","1","0.04"
"1248.81","1","0.04"
"1249.26","1","0.04"
"1252.91","1","0.04"
"1253.40","1","0.04"
"1254.17","1","0.04"
"1255.55","1","0.04"
"1255.85","1","0.04"
"1260.29","1","0.04"
"1261.62","2","0.08"
"1267.76","1","0.04"
"1268.02","1","0.04"
"1269.09","1","0.04"
"1270.35","1","0.04"
"1271.09","1","0.04"
"1271.24","1","0.04"
"1273.30","1","0.04"
"1274.09","1","0.04"
"1274.78","1","0.04"
"1276.74","1","0.04"
"1286.54","1","0.04"
"1288.54","1","0.04"
"1290.68","1","0.04"
"1295.91","1","0.04"
"1301.65","1","0.04"
"1305.66","1","0.04"
"1308.76","1","0.04"
"1313.76","1","0.04"
"1315.4400000000000004440892","1","0.04"
"1315.54","1","0.04"
"1319.76","1","0.04"
"1321.85","1","0.04"
"1322.87","1","0.04"
"1323.34","1","0.04"
"1327.48","1","0.04"
"1330.22","1","0.04"
"1333.43","1","0.04"
"1334.18","1","0.04"
"1335.47","1","0.04"
"1336.14","1","0.04"
"1337.07","1","0.04"
"1337.70","1","0.04"
"1342.65","1","0.04"
"1343.03","1","0.04"
"1344.71","1","0.04"
"1345.59","1","0.04"
"1346.46","1","0.04"
